id,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
806,Verbs,multiple_choice,"Ihr ___ die Musik leiser.",dreht,drehe,drehen,"leiser drehen (to turn down volume)"
807,Articles,fill_in_blank,"Das Hotel liegt direkt an ___ Strand.",dem,den,der,"an + Dativ (location)"
808,Haben/Sein,fill_in_blank,"Du ___ keine Ahnung.",hast,bist,haben,"keine Ahnung haben (to have no idea)"
809,Verbs,fill_in_blank,"Ich ___ meine Schlüssel.",finde,findest,findet,"finden (to find)"
810,Cases,multiple_choice,"Wir sprechen über ___ Politik.",die,der,den,"über + Akkusativ"
811,W-Fragen,fill_in_blank,"___ hast du das gehört?",Von wem,Wer,Wen,"Asking 'from whom'"
812,Sentences,build_sentence,"er|hat|sich|gewundert|darüber",Er hat sich darüber gewundert.,,,
813,Pronouns,multiple_choice,"Das ist eine gute Nachricht für ___.",uns,wir,unser,"für + Akkusativ"
814,Verbs,fill_in_blank,"Du ___ die Pflanze ins Licht.",stellst,stelle,stellen,"stellen (to put)"
815,Articles,multiple_choice,"Sie hat ___ Kette um den Hals.",eine,einen,ein,"um + Akkusativ"
816,Haben/Sein,fill_in_blank,"Wir ___ es nicht mehr weit.",haben,sind,seid,"es nicht mehr weit haben (to not have much further to go)"
817,Verbs,fill_in_blank,"Er ___ die Situation.",beschreibt,beschreibe,beschreiben,"beschreiben (to describe)"
818,Cases,multiple_choice,"Ich bin mit ___ Ergebnis zufrieden.",dem,den,das,"mit + Dativ"
819,W-Fragen,fill_in_blank,"___ steht das?",In welchem Buch,Wo,Was,"Asking 'where is that written'"
820,Sentences,build_sentence,"ich|kann|mich|konzentrieren|nicht",Ich kann mich nicht konzentrieren.,,,
821,Pronouns,multiple_choice,"Er hat sich ___ angeschlossen.",uns,wir,unser,"sich anschließen + Dativ"
822,Modal Verbs,fill_in_blank,"Ihr ___ pünktlich sein.",müsst,müssen,muss,"müssen (must)"
823,Cases,multiple_choice,"Das Dorf liegt zwischen ___ Bergen.",den,die,der,"zwischen + Dativ (Plural)"
824,Haben/Sein,fill_in_blank,"Du ___ einen guten Ruf.",hast,bist,haben,"haben (to have)"
825,Verbs,fill_in_blank,"Ich ___ das nicht.",akzeptiere,akzeptierst,akzeptiert,"akzeptieren (to accept)"
826,Articles,multiple_choice,"Sie geht zu ___ besten Arzt der Stadt.",dem,den,der,"zu + Dativ"
827,W-Fragen,fill_in_blank,"___ soll das enden?",Wie,Was,Wo,"Asking 'how is this supposed to end'"
828,Sentences,build_sentence,"er|hat|bestanden|mit Bravour",Er hat mit Bravour bestanden.,,,
829,Pronouns,multiple_choice,"Ich bin abhängig von ___.",dir,dich,du,"abhängig sein von + Dativ"
830,Verbs,fill_in_blank,"Wir ___ die Wohnung.",putzen,putzt,putze,"putzen (to clean)"
831,Cases,multiple_choice,"Er geht an ___ Kirche vorbei.",der,die,dem,"an + Dativ (location)"
832,Haben/Sein,fill_in_blank,"Wir ___ das Sagen.",haben,sind,seid,"das Sagen haben (to be in charge)"
833,Verbs,fill_in_blank,"Du ___ mir ein Vorbild.",bist,hast,sein,"ein Vorbild sein für + Akkusativ"
834,Articles,multiple_choice,"Die Tasche ist aus ___ Leder.",null,dem,den,"aus + material (no article)"
835,W-Fragen,fill_in_blank,"Wofür ___ du?",sparst,spare,sparen,"sparen für + Akkusativ"
836,Sentences,build_sentence,"sie|hat|sich|verliebt|in ihn",Sie hat sich in ihn verliebt.,,,
837,Pronouns,multiple_choice,"Das ist eine Beleidigung für ___.",mich,mir,ich,"für + Akkusativ"
838,Verbs,fill_in_blank,"Ihr ___ die Geschichte.",glaubt,glaube,glauben,"glauben (to believe)"
839,Cases,multiple_choice,"Das Bild hängt über ___ Sofa.",dem,den,das,"über + Dativ (location)"
840,Haben/Sein,fill_in_blank,"Du ___ ein Ass im Ärmel.",hast,bist,haben,"ein Ass im Ärmel haben"
841,Verbs,fill_in_blank,"Er ___ seine Meinung.",begründet,begründe,begründen,"begründen (to justify)"
842,Articles,multiple_choice,"Ich fahre mit ___ Zug um 8 Uhr.",dem,den,der,"mit + Dativ"
843,W-Fragen,fill_in_blank,"___ steht als Nächstes an?",Was,Wer,Wie,"Asking 'what's next on the agenda'"
844,Sentences,build_sentence,"ich|habe|geträumt|von dir",Ich habe von dir geträumt.,,,
845,Pronouns,multiple_choice,"Er hat ___ (us) zum Lachen gebracht.",uns,wir,unser,"bringen + Akkusativ"
846,Modal Verbs,fill_in_blank,"Du ___ das nicht tun.",solltest,sollst,soll,"sollen (should - Konjunktiv II)"
847,Cases,multiple_choice,"Sie ist bei ___ Großeltern.",ihren,ihre,ihrem,"bei + Dativ (Plural)"
848,Haben/Sein,fill_in_blank,"Ihr ___ nicht ganz bei Trost.",seid,habt,sind,"nicht ganz bei Trost sein (to be out of one's mind)"
849,Verbs,fill_in_blank,"Ich ___ die Blumen.",schneide,schneidest,schneidet,"schneiden (to cut)"
850,Articles,multiple_choice,"Das ist die Entscheidung ___ Chefin.",der,die,den,"Genitiv (A2/B1)"
851,Verbs,fill_in_blank,"Du ___ die Flasche auf.",machst,mache,machen,"aufmachen (to open)"
852,Cases,multiple_choice,"Er hat ___ neuen Computer.",einen,einem,ein,"der Computer (Akkusativ)"
853,W-Fragen,fill_in_blank,"___ ist der schnellste Weg?",Was,Welcher,Wie,"Asking 'what/which'"
854,Sentences,build_sentence,"sie|hat|abgelehnt|das Angebot",Sie hat das Angebot abgelehnt.,,,
855,Pronouns,multiple_choice,"Ich bin ___ für die Hilfe dankbar.",dir,dich,du,"dankbar sein + Dativ"
856,Verbs,multiple_choice,"Wir ___ das Risiko ein.",gehen,geht,gehe,"eingehen (to take a risk - separable)"
857,Articles,fill_in_blank,"Das Buch handelt von ___ König.",einem,einen,ein,"von + Dativ"
858,Haben/Sein,fill_in_blank,"Du ___ das letzte Wort.",hast,bist,haben,"das letzte Wort haben"
859,Verbs,fill_in_blank,"Er ___ die Aufgabe.",erledigt,erledige,erledigen,"erledigen (to take care of)"
860,Cases,multiple_choice,"Sie geht zu ___ Schneider.",dem,den,der,"zu + Dativ"
861,W-Fragen,fill_in_blank,"Worauf ___ du hinaus?",willst,wolle,wollen,"hinauswollen auf + Akkusativ"
862,Sentences,build_sentence,"ich|habe|mich|vorbereitet|gut",Ich habe mich gut vorbereitet.,,,
863,Pronouns,multiple_choice,"Das ist eine Ausnahme für ___.",uns,wir,unser,"für + Akkusativ"
864,Verbs,fill_in_blank,"Ihr ___ die Regeln.",verletzt,verletze,verletzen,"verletzen (to violate)"
865,Cases,multiple_choice,"Das Flugzeug fliegt über ___ Wolken.",den,die,der,"über + Dativ (Plural)"
866,Haben/Sein,fill_in_blank,"Wir ___ im Vorteil.",sind,haben,seid,"im Vorteil sein (to have an advantage)"
867,Verbs,fill_in_blank,"Du ___ die Wahrheit.",verdrehst,verdrehe,verdrehen,"verdrehen (to twist)"
868,Articles,multiple_choice,"Er arbeitet an ___ neuen Projekt.",einem,einen,ein,"an + Dativ"
869,W-Fragen,fill_in_blank,"___ hast du das erfahren?",Wodurch,Wie,Was,"Asking 'by what means'"
870,Sentences,build_sentence,"er|hat|sich|gewöhnt|daran",Er hat sich daran gewöhnt.,,,
871,Pronouns,multiple_choice,"Ich bin stolz auf ___.",euch,ihr,euer,"stolz sein auf + Akkusativ"
872,Modal Verbs,fill_in_blank,"Ich ___ jetzt gehen.",muss,darf,kann,"müssen (must)"
873,Cases,multiple_choice,"Das Geschenk ist von ___ Eltern.",meinen,meine,meiner,"von + Dativ (Plural)"
874,Haben/Sein,fill_in_blank,"Du ___ einen an der Waffel.",hast,bist,haben,"einen an der Waffel haben (to be nuts)"
875,Verbs,fill_in_blank,"Ich ___ dir das nicht.",verzeihe,verzeihst,verzeiht,"verzeihen (to forgive)"
876,Articles,multiple_choice,"Sie wohnt in ___ kleinen Wohnung.",einer,eine,einen,"in + Dativ"
877,W-Fragen,fill_in_blank,"An ___ denkst du?",wen,wem,was,"denken an + Akkusativ"
878,Sentences,build_sentence,"sie|hat|teilgenommen|am Wettbewerb",Sie hat am Wettbewerb teilgenommen.,,,
879,Pronouns,multiple_choice,"Er ist neidisch auf ___.",mich,mir,ich,"neidisch sein auf + Akkusativ"
880,Verbs,fill_in_blank,"Wir ___ das Ergebnis.",feiern,feiert,feiere,"feiern (to celebrate)"
881,Cases,multiple_choice,"Das ist die Aufgabe ___ Schülers.",des,den,dem,"Genitiv (A2/B1)"
882,Haben/Sein,fill_in_blank,"Ihr ___ die Hosen an.",habt,seid,sind,"die Hosen anhaben (to be in charge)"
883,Verbs,fill_in_blank,"Du ___ das Essen vor.",bereitest,bereite,bereiten,"vorbereiten (to prepare - separable)"
884,Articles,multiple_choice,"Er fährt ohne ___ gültiges Ticket.",ein,einen,eine,"ohne + Akkusativ"
885,W-Fragen,fill_in_blank,"___ geht es weiter?",Wie,Was,Wo,"Asking 'how does it continue'"
886,Sentences,build_sentence,"ich|habe|beschlossen|zu Hause zu bleiben",Ich habe beschlossen, zu Hause zu bleiben.,,,
887,Pronouns,multiple_choice,"Ich kümmere mich um ___.",dich,dir,du,"sich kümmern um + Akkusativ"
888,Verbs,fill_in_blank,"Ihr ___ die Blumen.",pflückt,pflücke,pflücken,"pflücken (to pick)"
889,Cases,multiple_choice,"Sie geht mit ___ Freunden aus.",ihren,ihre,ihrem,"mit + Dativ (Plural)"
890,Haben/Sein,fill_in_blank,"Wir ___ auf Abruf.",sind,haben,seid,"auf Abruf sein (to be on call)"
891,Verbs,fill_in_blank,"Er ___ die Tür.",verschließt,verschließe,verschließen,"verschließen (to lock)"
892,Articles,multiple_choice,"Das ist die Schuld ___ Systems.",des,den,dem,"Genitiv (A2/B1)"
893,W-Fragen,fill_in_blank,"___ hat das Rennen gewonnen?",Wer,Was,Wie,"Asking 'who'"
894,Sentences,build_sentence,"er|hat|mich|überzeugt|nicht",Er hat mich nicht überzeugt.,,,
895,Pronouns,multiple_choice,"Ich bin gespannt auf ___.",dich,dir,du,"gespannt sein auf + Akkusativ"
896,Verbs,fill_in_blank,"Wir ___ eine Lösung.",erarbeiten,erarbeitet,erarbeite,"erarbeiten (to develop a solution)"
897,Cases,multiple_choice,"Das Schiff sinkt auf ___ Meeresgrund.",den,dem,der,"auf + Akkusativ (motion)"
898,Haben/Sein,fill_in_blank,"Du ___ ein langes Wochenende vor dir.",hast,bist,haben,"haben (to have)"
899,Verbs,fill_in_blank,"Du ___ das Puzzle.",löst,löse,lösen,"lösen (to solve)"
900,Articles,multiple_choice,"Sie denkt an ___ letzten Urlaub.",den,dem,der,"an + Akkusativ"
901,Verbs,fill_in_blank,"Ich ___ dich zum Essen ein.",lade,lädst,ladet,"einladen (to invite - separable)"
902,Cases,multiple_choice,"Das ist ein Foto aus ___ Kindheit.",meiner,meine,meinem,"aus + Dativ"
903,W-Fragen,fill_in_blank,"___ soll ich mich wenden?",An wen,An wem,Wer,"sich wenden an + Akkusativ"
904,Sentences,build_sentence,"sie|hat|gelächelt|freundlich",Sie hat freundlich gelächelt.,,,
905,Pronouns,multiple_choice,"Ich bin ___ für alles dankbar.",dir,dich,du,"dankbar sein + Dativ"
906,Verbs,multiple_choice,"Ihr ___ die Prüfung.",besteht,bestehe,bestehen,"bestehen (to pass)"
907,Articles,fill_in_blank,"Er wohnt in ___ WG.",einer,eine,einen,"in + Dativ (die WG)"
908,Haben/Sein,fill_in_blank,"Wir ___ eine gemeinsame Basis.",haben,sind,seid,"haben (to have)"
909,Verbs,fill_in_blank,"Er ___ die Frage.",ignoriert,ignoriere,ignorieren,"ignorieren (to ignore)"
910,Cases,multiple_choice,"Das liegt innerhalb ___ Hauses.",des,den,dem,"innerhalb + Genitiv (A2/B1)"
911,W-Fragen,fill_in_blank,"___ steht auf der Speisekarte?",Was,Wer,Wie,"Asking 'what's on the menu'"
912,Sentences,build_sentence,"ich|habe|mich|entschuldigt|für den Fehler",Ich habe mich für den Fehler entschuldigt.,,,
913,Pronouns,multiple_choice,"Er ist enttäuscht von ___.",uns,wir,unser,"enttäuscht sein von + Dativ"
914,Verbs,fill_in_blank,"Du ___ das Geschirr ab.",trocknest,trockne,trocknen,"abtrocknen (to dry - separable)"
915,Articles,multiple_choice,"Sie geht ohne ___ Jacke nach draußen.",eine,einen,ein,"ohne + Akkusativ"
916,Haben/Sein,fill_in_blank,"Ihr ___ im Bilde.",seid,habt,sind,"im Bilde sein (to be informed)"
917,Verbs,fill_in_blank,"Ich ___ das nicht.",unterstütze,unterstützt,unterstützen,"unterstützen (to support)"
918,Cases,multiple_choice,"Er ist der Gründer ___ Firma.",der,die,den,"Genitiv (A2/B1)"
919,W-Fragen,fill_in_blank,"___ soll ich anfangen?",Womit,Wovon,Woran,"Asking 'with what should I start'"
920,Sentences,build_sentence,"er|hat|sich|erkundigt|nach dir",Er hat sich nach dir erkundigt.,,,
921,Pronouns,multiple_choice,"Das ist ein klarer Fall für ___.",mich,mir,ich,"für + Akkusativ"
922,Modal Verbs,fill_in_blank,"Wir ___ das nicht akzeptieren.",können,müssen,dürfen,"können (can)"
923,Cases,multiple_choice,"Der Apfel liegt neben ___ Birne.",der,die,den,"neben + Dativ (location)"
924,Haben/Sein,fill_in_blank,"Du ___ die Ruhe weg.",hast,bist,haben,"die Ruhe weg haben (to be very calm)"
925,Verbs,fill_in_blank,"Ich ___ dir ein Geheimnis an.",vertraue,vertraust,vertraut,"anvertrauen (to entrust)"
926,Articles,multiple_choice,"Sie hat einen Ring am ___ Finger.",null,dem,den,"am (an + dem) + Dativ"
927,W-Fragen,fill_in_blank,"___ bist du dir sicher?",Wie,Wobei,Wovon,"Asking 'how sure are you'"
928,Sentences,build_sentence,"sie|hat|ihm|verziehen|nicht",Sie hat ihm nicht verziehen.,,,
929,Pronouns,multiple_choice,"Ich bin auf ___ angewiesen.",dich,dir,du,"angewiesen sein auf + Akkusativ"
930,Verbs,fill_in_blank,"Wir ___ das Risiko.",eingehen,geht,gehe,"eingehen (to take a risk - separable)"
931,Cases,multiple_choice,"Das ist die Folge ___ Unfalls.",des,den,dem,"Genitiv (A2/B1)"
932,Haben/Sein,fill_in_blank,"Ihr ___ einen langen Atem.",habt,seid,sind,"einen langen Atem haben (to have stamina)"
933,Verbs,fill_in_blank,"Er ___ die Einladung aus.",spricht,spreche,sprechen,"aussprechen (to pronounce/extend - separable)"
934,Articles,multiple_choice,"Wir sind trotz ___ Wetters gekommen.",des schlechten,dem schlechten,das schlechte,"trotz + Genitiv (A2/B1)"
935,W-Fragen,fill_in_blank,"___ redest du?",Über wen,Über wem,Wer,"reden über + Akkusativ"
936,Sentences,build_sentence,"ich|habe|mich|verabschiedet|von allen",Ich habe mich von allen verabschiedet.,,,
937,Pronouns,multiple_choice,"Er hat sich über ___ lustig gemacht.",mich,mir,ich,"sich lustig machen über + Akkusativ"
938,Verbs,fill_in_blank,"Ihr ___ die Situation.",kontrolliert,kontrolliere,kontrollieren,"kontrollieren (to control)"
939,Cases,multiple_choice,"Das Büro ist neben ___ Konferenzraum.",dem,den,der,"neben + Dativ (location)"
940,Haben/Sein,fill_in_blank,"Wir ___ die Schnauze voll.",haben,sind,seid,"die Schnauze voll haben (to be fed up)"
941,Verbs,fill_in_blank,"Du ___ die Tür auf.",brichst,breche,brechen,"aufbrechen (to break open - separable)"
942,Articles,multiple_choice,"Sie hat ein Tattoo auf ___ Arm.",dem,den,der,"auf + Dativ (location)"
943,W-Fragen,fill_in_blank,"___ geht es in dem Buch?",Worum,Worüber,Wovon,"gehen um + Akkusativ"
944,Sentences,build_sentence,"er|hat|mir|empfohlen|dieses Restaurant",Er hat mir dieses Restaurant empfohlen.,,,
945,Pronouns,multiple_choice,"Ich bin nicht einverstanden mit ___.",ihm,ihn,er,"mit + Dativ"
946,Verbs,fill_in_blank,"Wir ___ das Problem.",umgehen,umgeht,umgehe,"umgehen (to bypass - inseparable)"
947,Cases,multiple_choice,"Das ist während ___ Vorstellung passiert.",der,die,den,"während + Genitiv (A2/B1)"
948,Haben/Sein,fill_in_blank,"Du ___ ein Déjà-vu.",hast,bist,haben,"haben (to have)"
949,Verbs,fill_in_blank,"Er ___ das Gesetz.",bricht,breche,brechen,"brechen (to break)"
950,Articles,multiple_choice,"Ich bin Teil ___ Gruppe.",der,die,den,"Genitiv (A2/B1)"
951,Verbs,fill_in_blank,"Ich ___ dich ab.",hole,holst,holt,"abholen (to pick up)"
952,Cases,multiple_choice,"Er geht zu ___ Zahnarzt.",dem,den,der,"zu + Dativ"
953,W-Fragen,fill_in_blank,"___ hast du das Auto geparkt?",Wo,Wohin,Woher,"Asking for location"
954,Sentences,build_sentence,"sie|hat|eingekauft|für die Party",Sie hat für die Party eingekauft.,,,
955,Pronouns,multiple_choice,"Ich bin ___ für die Unterstützung dankbar.",euch,ihr,euer,"dankbar sein + Dativ"
956,Verbs,fill_in_blank,"Ihr ___ die Antwort.",findet,finde,finden,"finden (to find)"
957,Articles,multiple_choice,"Das Restaurant ist um ___ Ecke.",die,der,dem,"um + Akkusativ"
958,Haben/Sein,fill_in_blank,"Wir ___ ein Problem.",haben,sind,seid,"haben (to have)"
959,Verbs,fill_in_blank,"Du ___ die Aufgabe.",löst,löse,lösen,"lösen (to solve)"
960,Cases,multiple_choice,"Sie hat ___ roten Schal.",einen,ein,einem,"der Schal (Akkusativ)"
961,W-Fragen,fill_in_blank,"___ ist dein Lieblingssport?",Was,Wer,Welcher,"Asking 'what'"
962,Sentences,build_sentence,"er|hat|gelernt|zu schwimmen",Er hat gelernt zu schwimmen.,,,
963,Pronouns,multiple_choice,"Ich habe ___ (him) geholfen.",ihm,ihn,er,"helfen + Dativ"
964,Verbs,fill_in_blank,"Wir ___ unsere Freunde zum Abendessen.",treffen,trefft,treffe,"treffen (to meet)"
965,Cases,multiple_choice,"Die Katze sitzt auf ___ Dach.",dem,den,das,"auf + Dativ (location)"
966,Haben/Sein,fill_in_blank,"Du ___ Glück gehabt.",hast,bist,haben,"Glück gehabt haben (Perfekt)"
967,Verbs,fill_in_blank,"Er ___ die Zeitung.",liest,lese,lesen,"lesen (to read)"
968,Articles,multiple_choice,"Ich komme aus ___ Niederlande (pl).",den,die,der,"aus + Dativ (Plural)"
969,W-Fragen,fill_in_blank,"___ hast du das gemacht?",Warum,Wann,Wo,"Asking 'why'"
970,Sentences,build_sentence,"sie|hat|sich|gefreut|über das Geschenk",Sie hat sich über das Geschenk gefreut.,,,
971,Pronouns,multiple_choice,"Ich bin ___ (you, formal) sehr dankbar.",Ihnen,Sie,Ihr,"dankbar sein + Dativ (formal)"
972,Verbs,fill_in_blank,"Ihr ___ die Tür auf.",macht,mache,machen,"aufmachen (to open - separable)"
973,Cases,multiple_choice,"Er geht durch ___ Tor.",das,dem,den,"durch + Akkusativ"
974,Haben/Sein,fill_in_blank,"Wir ___ keine andere Wahl.",haben,sind,seid,"haben (to have)"
975,Verbs,fill_in_blank,"Du ___ die Frage.",verstehst,verstehe,verstehen,"verstehen (to understand)"
976,Articles,multiple_choice,"Das ist die Lösung ___ Rätsels.",des,den,dem,"Genitiv (A2/B1)"
977,W-Fragen,fill_in_blank,"An ___ hast du den Brief geschickt?",wen,wem,wer,"an + Akkusativ"
978,Sentences,build_sentence,"er|hat|versprochen|pünktlich zu sein",Er hat versprochen, pünktlich zu sein.,,,
979,Pronouns,multiple_choice,"Ich habe mich an ___ gewöhnt.",dich,dir,du,"sich gewöhnen an + Akkusativ"
980,Verbs,fill_in_blank,"Wir ___ das Spiel.",beginnen,beginnt,beginne,"beginnen (to begin)"
981,Cases,multiple_choice,"Sie wohnt seit ___ Jahr in Berlin.",einem,einen,ein,"seit + Dativ"
982,Haben/Sein,fill_in_blank,"Du ___ ein sonniges Gemüt.",hast,bist,haben,"haben (to have)"
983,Verbs,fill_in_blank,"Er ___ das Paket.",annimmt,annehme,annehmen,"annehmen (to accept - separable)"
984,Articles,multiple_choice,"Er geht zu ___ Supermarkt.",dem,den,der,"zu + Dativ"
985,W-Fragen,fill_in_blank,"___ hast du deine Schlüssel gelassen?",Wo,Wohin,Was,"Asking for location"
986,Sentences,build_sentence,"sie|hat|sich|entschieden|dagegen",Sie hat sich dagegen entschieden.,,,
987,Pronouns,multiple_choice,"Ich bin ___ treu.",dir,dich,du,"treu sein + Dativ"
988,Modal Verbs,fill_in_blank,"Ich ___ dir das erklären.",kann,muss,soll,"kann (can)"
989,Cases,multiple_choice,"Das ist ___ Auto von Julia.",das,den,dem,"das Auto (Nominativ)"
990,Haben/Sein,fill_in_blank,"Ihr ___ die Prüfung bestanden.",habt,seid,sind,"haben (to have) - Perfekt"
991,Verbs,fill_in_blank,"Ich ___ dir.",folge,folgst,folgt,"folgen (to follow)"
992,Articles,multiple_choice,"Er schreibt mit ___ Stift.",einem,einen,ein,"mit + Dativ"
993,W-Fragen,fill_in_blank,"___ ist deine Meinung dazu?",Was,Wie,Wer,"Asking 'what'"
994,Sentences,build_sentence,"er|hat|mir|gezeigt|den Weg",Er hat mir den Weg gezeigt.,,,
995,Pronouns,multiple_choice,"Ich bin auf ___ gespannt.",euch,ihr,euer,"gespannt sein auf + Akkusativ"
996,Verbs,fill_in_blank,"Wir ___ die Gelegenheit.",nutzen,nutzt,nutze,"nutzen (to use)"
997,Cases,multiple_choice,"Das liegt jenseits ___ Vorstellung.",meiner,meine,meinem,"jenseits + Genitiv (B1)"
998,Haben/Sein,fill_in_blank,"Du ___ eine Menge gelernt.",hast,bist,haben,"haben (to have) - Perfekt"
999,Verbs,fill_in_blank,"Er ___ das Fenster zu.",macht,mache,machen,"zumachen (to close - separable)"
1000,Articles,multiple_choice,"Das ist das Ende ___ Geschichte.",der,die,den,"Genitiv (A2/B1)"