data_id;rule_id;context_type;base_form;transformed_form;full_context_de;full_context_en;focus_element;transformation_type;case_involved;person_number;tense_mood;difficulty;tags;cultural_note
GD001;G001;transformation;Wie heißt du?;Wie heißen Sie?;Beim Amt fragt man: ""Wie heißen Sie?"";At the office, you ask: ""What is your name?"";du -> Sie;formality_change;;;present;1;formal,pronoun;Using 'Sie' is mandatory when addressing officials.
GD002;G001;transformation;Kommst du aus England?;Kommen Sie aus England?;Auf einer Konferenz fragt man: ""Kommen Sie aus England?"";At a conference, you ask: ""Do you come from England?"";Kommst du -> Kommen Sie;formality_change;;;present;1;formal,pronoun;
GD003;G005;conjugation;ich lerne;du lernst;Du lernst sehr schnell.;You learn very quickly.;-st ending;conjugation;;2sg;present;1;verb,regular;
GD004;G005;conjugation;ich lerne;er lernt;Er lernt Deutsch in der Schule.;He learns German at school.;-t ending;conjugation;;3sg;present;1;verb,regular;
GD005;G005;conjugation;wir machen;ihr macht;Was macht ihr heute?;What are you all doing today?;-t ending;conjugation;;2pl;present;1;verb,regular;
GD006;G005;conjugation;ich kaufe;sie kauft;Sie kauft im Supermarkt ein.;She is shopping in the supermarket.;-t ending;conjugation;;3sg;present;1;verb,regular;
GD007;G005;conjugation;du wohnst;wir wohnen;Wir wohnen in einer kleinen Wohnung.;We live in a small apartment.;-en ending;conjugation;;1pl;present;1;verb,regular;
GD008;G008;conjugation;ich bin;du bist;Du bist mein bester Freund.;You are my best friend.;sein -> bist;conjugation;;2sg;present;2;verb,irregular,sein;
GD009;G008;conjugation;ich bin;er ist;Er ist nicht zu Hause.;He is not at home.;sein -> ist;conjugation;;3sg;present;2;verb,irregular,sein;
GD010;G008;conjugation;wir sind;ihr seid;Ihr seid sehr nett.;You are all very nice.;sein -> seid;conjugation;;2pl;present;2;verb,irregular,sein;
GD011;G008;conjugation;ich habe;du hast;Hast du einen Moment Zeit?;Do you have a moment of time?;haben -> hast;conjugation;;2sg;present;2;verb,irregular,haben;
GD012;G008;conjugation;ich habe;er hat;Er hat blaue Augen.;He has blue eyes.;haben -> hat;conjugation;;3sg;present;2;verb,irregular,haben;
GD013;G008;conjugation;wir haben;ihr habt;Was habt ihr?;What do you all have?;haben -> habt;conjugation;;2pl;present;2;verb,irregular,haben;
GD014;G006;declension;der Stuhl;den Stuhl;Ich kaufe den Stuhl.;I am buying the chair.;der -> den;declension;acc;;present;2;accusative,masculine;
GD015;G006;declension;ein Tisch;einen Tisch;Wir brauchen einen neuen Tisch.;We need a new table.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD016;G006;declension;kein Apfel;keinen Apfel;Ich esse keinen Apfel.;I am not eating an apple.;kein -> keinen;declension;acc;;present;2;accusative,masculine,negation;
GD017;G006;declension;der Hund;den Hund;Siehst du den Hund dort?;Do you see the dog over there?;der -> den;declension;acc;;present;2;accusative,masculine;
GD018;G006;declension;der Kaffee;den Kaffee;Ich trinke meinen Kaffee schwarz.;I drink my coffee black.;der -> den (mein*en*);declension;acc;;present;2;accusative,masculine;
GD019;G006;declension;der Salat;den Salat;Er bestellt den Salat.;He orders the salad.;der -> den;declension;acc;;present;2;accusative,masculine;
GD020;G006;declension;ein Freund;einen Freund;Ich besuche einen Freund in Hamburg.;I am visiting a friend in Hamburg.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD021;G006;declension;der Lehrer;den Lehrer;Die Schüler fragen den Lehrer.;The students ask the teacher.;der -> den;declension;acc;;present;2;accusative,masculine;
GD022;G006;declension;der Wein;den Wein;Möchtest du den Wein probieren?;Would you like to try the wine?;der -> den;declension;acc;;present;2;accusative,masculine;
GD023;G006;declension;ein Mantel;einen Mantel;Er trägt einen langen Mantel.;He is wearing a long coat.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD024;G006;declension;die Lampe;die Lampe;Ich sehe die Lampe.;I see the lamp.;die -> die (no change);declension;acc;;present;1;accusative,feminine;
GD025;G006;declension;eine Katze;eine Katze;Sie hat eine Katze.;She has a cat.;eine -> eine (no change);declension;acc;;present;1;accusative,feminine;
GD026;G006;declension;das Buch;das Buch;Er liest das Buch.;He is reading the book.;das -> das (no change);declension;acc;;present;1;accusative,neuter;
GD027;G006;declension;ein Auto;ein Auto;Wir kaufen ein Auto.;We are buying a car.;ein -> ein (no change);declension;acc;;present;1;accusative,neuter;
GD028;G002;word_order;Ich gehe heute.;Heute gehe ich.;Ich -> Heute;word_order;;;present;2;word-order,v2-rule;
GD029;G002;word_order;Wir lernen am Montag Deutsch.;Am Montag lernen wir Deutsch.;Wir -> Am Montag;word_order;;;present;2;word-order,v2-rule,inversion;
GD030;G002;word_order;Er ist jetzt hier.;Jetzt ist er hier.;Er -> Jetzt;word_order;;;present;2;word-order,v2-rule,inversion;
GD031;G014;word_order;Du kommst aus Berlin.;Kommst du aus Berlin?;Statement -> Question;word_order;;;present;1;word-order,question,ja-nein;
GD032;G014;word_order;Sie haben Zeit.;Haben Sie Zeit?;Statement -> Question;word_order;;;present;1;word-order,question,ja-nein;
GD033;G015;word_order;Du heißt wie?;Wie heißt du?;Statement -> Question;word_order;;;present;1;word-order,question,w-frage;
GD034;G015;word_order;Der Bahnhof ist wo?;Wo ist der Bahnhof?;Statement -> Question;word_order;;;present;1;word-order,question,w-frage;
GD035;G009;conjugation;ich spreche;du sprichst;Du sprichst sehr gut Deutsch.;You speak German very well.;e -> i;conjugation;;2sg;present;3;verb,irregular,vowel-change;
GD036;G009;conjugation;er gibt;ich gebe;Ich gebe dir das Buch.;I am giving you the book.;i -> e;conjugation;;1sg;present;3;verb,irregular,vowel-change;
GD037;G009;conjugation;ich fahre;er fährt;Er fährt mit dem Zug nach Köln.;He is taking the train to Cologne.;a -> ä;conjugation;;3sg;present;3;verb,irregular,vowel-change;
GD038;G009;conjugation;du liest;sie liest;Sie liest jeden Abend.;She reads every evening.;liest -> liest (no change);conjugation;;3sg;present;3;verb,irregular,vowel-change;`du` and `er/sie/es` forms are the same for `lesen`.
GD039;G009;conjugation;ich nehme;du nimmst;Was nimmst du zum Trinken?;What are you taking to drink?;e -> i, h -> m;conjugation;;2sg;present;4;verb,irregular,vowel-change;
GD040;G009;conjugation;ich sehe;er sieht;Er sieht müde aus.;He looks tired.;e -> ie;conjugation;;3sg;present;3;verb,irregular,vowel-change;
GD041;G007;negation;Ich habe Zeit.;Ich habe keine Zeit.;ein -> kein;negation;acc;;present;2;negation,kein;
GD042;G007;negation;Das ist ein Hund.;Das ist kein Hund.;ein -> kein;negation;nom;;present;2;negation,kein;
GD043;G007;negation;Ich schlafe.;Ich schlafe nicht.;Verb negation;negation;;;present;1;negation,nicht;
GD044;G007;negation;Das Auto ist schnell.;Das Auto ist nicht schnell.;Adjective negation;negation;;;present;1;negation,nicht;
GD045;G007;negation;Er kommt aus Deutschland.;Er kommt nicht aus Deutschland.;Prepositional phrase negation;negation;;;present;2;negation,nicht;
GD046;G010;sentence_structure;Ich kann schwimmen.;Ich kann gut schwimmen.;Modal + Verb;word_order;;;present;2;modal,word-order;
GD047;G010;sentence_structure;Er will Deutsch lernen.;Er will Deutsch lernen.;Modal + Verb;word_order;;;present;3;modal,word-order;
GD048;G010;sentence_structure;Wir müssen einkaufen.;Wir müssen heute einkaufen.;Modal + Verb;word_order;;;present;3;modal,word-order;
GD049;G010;sentence_structure;Du darfst hier parken.;Darfst du hier parken?;Modal + Verb -> Question;word_order;;;present;3;modal,word-order,question;
GD050;G011;transformation;Ich mache die Hausaufgaben.;Ich habe die Hausaufgaben gemacht.;Present -> Perfekt;tense_change;;;perfekt;3;perfekt,haben;
GD051;G011;transformation;Wir spielen Fußball.;Wir haben Fußball gespielt.;Present -> Perfekt;tense_change;;;perfekt;3;perfekt,haben;
GD052;G011;transformation;Sie kauft das Brot.;Sie hat das Brot gekauft.;Present -> Perfekt;tense_change;;;perfekt;3;perfekt,haben;
GD053;G012;transformation;Ich gehe nach Hause.;Ich bin nach Hause gegangen.;Present -> Perfekt;tense_change;;;perfekt;4;perfekt,sein;
GD054;G012;transformation;Er fährt nach Berlin.;Er ist nach Berlin gefahren.;Present -> Perfekt;tense_change;;;perfekt;4;perfekt,sein;
GD055;G012;transformation;Wir bleiben hier.;Wir sind hier geblieben.;Present -> Perfekt;tense_change;;;perfekt;4;perfekt,sein;
GD056;G013;transformation;lernen;gelernt;Ich habe Deutsch gelernt.;I have learned German.;ge- (verb) -t;participle_formation;;;perfekt;2;participle,regular;
GD057;G013;transformation;sprechen;gesprochen;Hast du mit ihm gesprochen?;Have you spoken with him?;ge- (verb) -en;participle_formation;;;perfekt;3;participle,irregular;
GD058;G013;transformation;studieren;studiert;Er hat in Berlin studiert.;He studied in Berlin.;(verb) -t;participle_formation;;;perfekt;3;participle,ieren-verb;No 'ge-' prefix for verbs ending in -ieren.
GD059;G013;transformation;besuchen;besucht;Wir haben unsere Oma besucht.;We visited our grandma.;(verb) -t;participle_formation;;;perfekt;3;participle,inseparable;No 'ge-' prefix for inseparable verbs.
GD060;G021;transformation;anrufen;ruft an;Er ruft seine Freundin an.;He is calling his girlfriend.;prefix -> end;word_order;;3sg;present;3;separable-verb;
GD061;G021;transformation;einkaufen;kaufe ein;Ich kaufe im Supermarkt ein.;I am shopping in the supermarket.;prefix -> end;word_order;;1sg;present;3;separable-verb;
GD062;G021;transformation;fernsehen;siehst fern;Siehst du oft fern?;Do you often watch TV?;prefix -> end;word_order;;2sg;present;3;separable-verb,question;
GD063;G021;transformation;mitkommen;komme mit;Ich komme nicht mit.;I'm not coming along.;prefix -> end;word_order;;1sg;present;3;separable-verb,negation;
GD064;G016;declension;der Mann;dem Mann;Ich gebe dem Mann das Geld.;I give the man the money.;der -> dem;declension;dat;;present;4;dative,masculine;
GD065;G016;declension;die Frau;der Frau;Das Auto gehört der Frau.;The car belongs to the woman.;die -> der;declension;dat;;present;4;dative,feminine;
GD066;G016;declension;das Kind;dem Kind;Ich lese dem Kind ein Buch vor.;I am reading a book to the child.;das -> dem;declension;dat;;present;4;dative,neuter;
GD067;G016;declension;die Leute;den Leuten;Er hilft den Leuten.;He helps the people.;die -> den, Leute -> Leuten;declension;dat;;present;4;dative,plural;Plural dative adds -n to the noun if possible.
GD068;G017;sentence_structure;Ich komme mit (du).;Ich komme mit dir.;Pronoun declension;declension;dat;2sg;present;3;dative-preposition,mit;
GD069;G017;sentence_structure;Er fährt zu (sein Freund).;Er fährt zu seinem Freund.;Possessive declension;declension;dat;3sg;present;4;dative-preposition,zu;
GD070;G017;sentence_structure;Wir kommen aus (die Schweiz).;Wir kommen aus der Schweiz.;Article declension;declension;dat;1pl;present;3;dative-preposition,aus;Countries with articles need dative declension.
GD071;G017;sentence_structure;Das Geschenk ist von (ich).;Das Geschenk ist von mir.;Pronoun declension;declension;dat;1sg;present;3;dative-preposition,von;
GD072;G018;sentence_structure;Ich gehe ohne (mein Regenschirm).;Ich gehe ohne meinen Regenschirm.;Possessive declension;declension;acc;1sg;present;3;accusative-preposition,ohne;
GD073;G018;sentence_structure;Das ist für (du).;Das ist für dich.;Pronoun declension;declension;acc;2sg;present;2;accusative-preposition,für;
GD074;G019;sentence_structure;Ich gehe in (das Kino).;Ich gehe ins Kino.;Contraction;declension;acc;1sg;present;3;two-way-preposition,direction;in + das = ins.
GD075;G019;sentence_structure;Ich bin in (das Kino).;Ich bin im Kino.;Contraction;declension;dat;1sg;present;3;two-way-preposition,location;in + dem = im.
GD076;G019;sentence_structure;Er legt das Buch auf (der Tisch).;Er legt das Buch auf den Tisch.;Article declension;declension;acc;3sg;present;4;two-way-preposition,direction;
GD077;G019;sentence_structure;Das Buch liegt auf (der Tisch).;Das Buch liegt auf dem Tisch.;Article declension;declension;dat;3sg;present;4;two-way-preposition,location;
GD078;G020;transformation;Du kommst her.;Komm her!;Statement -> Command;mood_change;;2sg;imperative;3;imperative,du-form;
GD079;G020;transformation;Du gibst mir das.;Gib mir das!;Statement -> Command;mood_change;;2sg;imperative;4;imperative,du-form,irregular;Irregular vowel change is kept in the command.
GD080;G020;transformation;Ihr sprecht leise.;Sprecht leise!;Statement -> Command;mood_change;;2pl;imperative;3;imperative,ihr-form;
GD081;G020;transformation;Sie helfen uns.;Helfen Sie uns!;Statement -> Command;mood_change;;3pl;imperative;3;imperative,sie-form;
GD082;G022;word_order;Ich mag Kaffee. Ich mag Tee.;Ich mag Kaffee und Tee.;Sentence combination;word_order;;;present;1;conjunction,und;
GD083;G022;word_order;Er ist reich. Er ist nicht glücklich.;Er ist reich, aber er ist nicht glücklich.;Sentence combination;word_order;;;present;2;conjunction,aber;
GD084;G022;word_order;Ich bleibe zu Hause. Ich bin krank.;Ich bleibe zu Hause, denn ich bin krank.;Sentence combination;word_order;;;present;3;conjunction,denn;`denn` does not change the V2 word order.
GD085;G023;word_order;Ich lerne Deutsch. Ich will in Deutschland leben.;Ich lerne Deutsch, weil ich in Deutschland leben will.;Sentence combination;word_order;;;present;4;conjunction,weil;`weil` kicks the conjugated verb `will` to the end.
GD086;G023;word_order;Ich glaube. Du bist nett.;Ich glaube, dass du nett bist.;Sentence combination;word_order;;;present;4;conjunction,dass;`dass` kicks the conjugated verb `bist` to the end.
GD087;G024;declension;mein Hund (Nom);mein Hund;Das ist mein Hund.;This is my dog.;Ending (-);declension;nom;3sg;present;2;possessive,masculine;
GD088;G024;declension;mein Hund (Acc);meinen Hund;Ich sehe meinen Hund.;I see my dog.;Ending (-en);declension;acc;1sg;present;3;possessive,masculine;
GD089;G024;declension;deine Katze (Nom);deine Katze;Deine Katze ist süß.;Your cat is cute.;Ending (-e);declension;nom;3sg;present;2;possessive,feminine;
GD090;G024;declension;deine Katze (Acc);deine Katze;Ich füttere deine Katze.;I am feeding your cat.;Ending (-e);declension;acc;1sg;present;2;possessive,feminine;
GD091;G024;declension;sein Buch (Nom);sein Buch;Sein Buch ist interessant.;His book is interesting.;Ending (-);declension;nom;3sg;present;2;possessive,neuter;
GD092;G024;declension;sein Buch (Acc);sein Buch;Er liest sein Buch.;He is reading his book.;Ending (-);declension;acc;3sg;present;2;possessive,neuter;
GD093;G024;declension;unsere Kinder (Nom);unsere Kinder;Unsere Kinder spielen draußen.;Our children are playing outside.;Ending (-e);declension;nom;3pl;present;3;possessive,plural;
GD094;G024;declension;euer Auto (Dat);eurem Auto;Wir fahren mit eurem Auto.;We are driving with your car.;Ending (-em);declension;dat;1pl;present;4;possessive,neuter,dative;
GD095;G025;declension;der schnelle Bus;dem schnellen Bus;Ich fahre mit dem schnellen Bus.;I'm driving with the fast bus.;-e -> -en;declension;dat;1sg;present;5;adjective-declension,weak;After dative `dem`, adjective ending is -en.
GD096;G025;declension;die rote Blume;die rote Blume;Ich kaufe die rote Blume.;I am buying the red flower.;Ending (-e);declension;acc;1sg;present;4;adjective-declension,weak;After accusative `die`, adjective ending is -e.
GD097;G026;transformation;gut;besser;Dein Deutsch ist gut, aber mein Deutsch ist besser.;Your German is good, but my German is better.;Comparative;comparison;;;present;3;comparative;
GD098;G026;transformation;schnell;schneller als;Ein Auto ist schneller als ein Fahrrad.;A car is faster than a bicycle.;Comparative with 'als';comparison;;;present;3;comparative;
GD099;G026;transformation;gern;lieber;Ich trinke gern Kaffee, aber ich trinke lieber Tee.;I like drinking coffee, but I prefer to drink tea.;Comparative;comparison;;;present;4;comparative,gern;
GD100;G026;transformation;gut;am besten;Dieser Kuchen schmeckt am besten.;This cake tastes the best.;Superlative;comparison;;;present;4;superlative;
GD101;G005;conjugation;ich arbeite;du arbeitest;Du arbeitest sehr hart.;You work very hard.;-est ending;conjugation;;2sg;present;2;verb,regular,spelling;Verbs ending in -t or -d need an extra 'e'.
GD102;G005;conjugation;er wartet;ihr wartet;Warum wartet ihr hier?;Why are you all waiting here?;-et ending;conjugation;;2pl;present;2;verb,regular,spelling;Verbs ending in -t or -d need an extra 'e'.
GD103;G008;transformation;Ich bin müde.;Bist du müde?;Statement -> Question;word_order;;2sg;present;2;sein,question,ja-nein;
GD104;G008;transformation;Er hat Hunger.;Hat er Hunger?;Statement -> Question;word_order;;3sg;present;2;haben,question,ja-nein;
GD105;G006;declension;mein Bruder;meinen Bruder;Ich rufe meinen Bruder an.;I am calling my brother.;mein -> meinen;declension;acc;1sg;present;3;accusative,masculine,possessive;
GD106;G006;declension;dein Schlüssel;deinen Schlüssel;Hast du deinen Schlüssel gefunden?;Did you find your key?;dein -> deinen;declension;acc;2sg;present;3;accusative,masculine,possessive;
GD107;G006;declension;sein Computer;seinen Computer;Er benutzt seinen Computer für die Arbeit.;He uses his computer for work.;sein -> seinen;declension;acc;3sg;present;3;accusative,masculine,possessive;
GD108;G006;declension;ihr Hund;ihren Hund;Sie geht mit ihrem Hund spazieren.;She is walking her dog.;ihr -> ihren;declension;acc;3sg;present;3;accusative,masculine,possessive;
GD109;G006;declension;unser Vater;unseren Vater;Wir besuchen unseren Vater.;We are visiting our father.;unser -> unseren;declension;acc;1pl;present;3;accusative,masculine,possessive;
GD110;G006;declension;euer Lehrer;euren Lehrer;Versteht ihr euren Lehrer?;Do you all understand your teacher?;euer -> euren;declension;acc;2pl;present;3;accusative,masculine,possessive;
GD111;G010;sentence_structure;Du kannst gut kochen.;Kannst du gut kochen?;Modal Verb Statement -> Question;word_order;;2sg;present;2;modal,können,question;
GD112;G010;sentence_structure;Ich will schlafen.;Ich will jetzt schlafen.;Modal + Verb;word_order;;1sg;present;3;modal,wollen;
GD113;G010;sentence_structure;Sie muss arbeiten.;Sie muss am Samstag arbeiten.;Modal + Verb;word_order;;3sg;present;3;modal,müssen;
GD114;G010;sentence_structure;Ihr dürft spielen.;Ihr dürft im Garten spielen.;Modal + Verb;word_order;;2pl;present;3;modal,dürfen;
GD115;G010;sentence_structure;Ich soll aufräumen.;Ich soll mein Zimmer aufräumen.;Modal + Separable Verb;word_order;;1sg;present;4;modal,sollen,separable-verb;The separable verb comes back together at the end.
GD116;G010;sentence_structure;Wir möchten bestellen.;Wir möchten jetzt bestellen, bitte.;Modal + Verb;word_order;;1pl;present;2;modal,möchten,polite;
GD117;G011;transformation;Er hat gekocht.;Hat er gekocht?;Perfekt Statement -> Question;word_order;;3sg;perfekt;3;perfekt,haben,question;
GD118;G011;transformation;Du hast gelernt.;Was hast du gelernt?;Perfekt Statement -> W-Frage;word_order;;2sg;perfekt;3;perfekt,haben,question;
GD119;G011;transformation;kaufen -> gekauft;ich habe gekauft;Ich habe ein neues Fahrrad gekauft.;I bought a new bicycle.;Participle Formation;tense_change;;1sg;perfekt;3;perfekt,haben;
GD120;G011;transformation;fragen -> gefragt;wir haben gefragt;Wir haben den Polizisten gefragt.;We asked the police officer.;Participle Formation;tense_change;;1pl;perfekt;3;perfekt,haben;
GD121;G011;transformation;suchen -> gesucht;ihr habt gesucht;Habt ihr lange gesucht?;Did you all search for a long time?;Participle Formation;tense_change;;2pl;perfekt;3;perfekt,haben,question;
GD122;G011;transformation;hören -> gehört;sie hat gehört;Sie hat die Musik gehört.;She heard the music.;Participle Formation;tense_change;;3sg;perfekt;3;perfekt,haben;
GD123;G011;transformation;tanzen -> getanzt;sie haben getanzt;Sie haben die ganze Nacht getanzt.;They danced the whole night.;Participle Formation;tense_change;;3pl;perfekt;3;perfekt,haben;
GD124;G011;transformation;bezahlen -> bezahlt;ich habe bezahlt;Ich habe die Rechnung schon bezahlt.;I have already paid the bill.;Participle Formation;tense_change;;1sg;perfekt;3;perfekt,haben;Inseparable prefix `be-` means no `ge-`.
GD125;G011;transformation;erklären -> erklärt;er hat erklärt;Er hat das Problem erklärt.;He explained the problem.;Participle Formation;tense_change;;3sg;perfekt;3;perfekt,haben;Inseparable prefix `er-` means no `ge-`.
GD126;G011;transformation;essen -> gegessen;du hast gegessen;Was hast du gegessen?;What did you eat?;Participle Formation (Irregular);tense_change;;2sg;perfekt;4;perfekt,haben,irregular;
GD127;G011;transformation;trinken -> getrunken;ich habe getrunken;Ich habe nur Wasser getrunken.;I only drank water.;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,haben,irregular;
GD128;G011;transformation;schreiben -> geschrieben;sie hat geschrieben;Sie hat einen Brief geschrieben.;She wrote a letter.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,haben,irregular;
GD129;G011;transformation;lesen -> gelesen;wir haben gelesen;Wir haben das Buch nicht gelesen.;We haven't read the book.;Participle Formation (Irregular);tense_change;;1pl;perfekt;4;perfekt,haben,irregular;
GD130;G011;transformation;sehen -> gesehen;ich habe gesehen;Ich habe den Film schon gesehen.;I have already seen the movie.;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,haben,irregular;
GD131;G011;transformation;finden -> gefunden;er hat gefunden;Er hat seine Schlüssel gefunden.;He found his keys.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,haben,irregular;
GD132;G011;transformation;sprechen -> gesprochen;ihr habt gesprochen;Habt ihr mit ihm gesprochen?;Did you all speak with him?;Participle Formation (Irregular);tense_change;;2pl;perfekt;4;perfekt,haben,irregular;
GD133;G011;transformation;helfen -> geholfen;ich habe geholfen;Ich habe dir doch geholfen!;But I did help you!;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,haben,irregular;
GD134;G012;transformation;Du bist gefahren.;Wohin bist du gefahren?;Perfekt Statement -> W-Frage;word_order;;2sg;perfekt;4;perfekt,sein,question;
GD135;G012;transformation;kommen -> gekommen;sie ist gekommen;Sie ist zu spät gekommen.;She came too late.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,sein,irregular;
GD136;G012;transformation;fliegen -> geflogen;wir sind geflogen;Wir sind nach Italien geflogen.;We flew to Italy.;Participle Formation (Irregular);tense_change;;1pl;perfekt;4;perfekt,sein,irregular;
